gene	prim_up_silent	prim_up_deleterious	recu_up_silent	recu_up_deleterious	prim_down_silent	prim_down_deleterious	recu_down_silent	recu_down_deleterious
RECK	0	0	1	0	0	0	0	0
C5	0	0	2	0	0	0	0	0
OR1L1	0	0	1	0	0	0	0	0
OLFML2A	0	0	1	0	0	0	0	0
LARP4B	0	0	1	0	0	0	0	0
PCDH15	0	0	1	0	0	0	0	0
MYPN	0	0	1	0	0	0	0	0
KCNMA1	0	0	1	0	0	0	0	0
CACUL1	0	0	1	0	0	0	0	0
SEC23IP	0	0	1	0	0	0	0	0
EBF3	0	0	1	0	0	0	0	0
PHRF1	0	0	1	0	0	0	0	0
MUC2	0	1	1	2	0	0	1	1
OR56B3P	0	0	1	0	0	0	0	0
PPFIBP2	0	0	1	0	0	0	0	0
PLEKHA7	0	0	1	0	0	1	0	1
F2	0	1	1	0	0	0	0	0
NDUFS3	0	0	1	0	0	0	0	0
LRP5	0	0	1	0	0	0	0	0
OR10G4	0	0	1	0	0	0	0	0
ZNF384	0	0	1	1	0	0	0	0
PEX5	0	0	1	0	0	0	0	0
AEBP2	0	0	1	0	0	0	0	0
H3F3C	0	0	1	0	0	0	0	0
FAM186A	0	0	1	1	0	0	0	0
ALX1	0	0	1	0	0	0	0	0
STAB2	0	0	1	1	0	0	0	0
HECTD4	0	0	1	0	0	0	0	0
VPS33A	0	0	1	0	0	0	0	0
FRY	0	0	1	1	0	0	0	0
NDFIP2	0	1	1	1	0	0	0	0
COL4A1	0	0	2	0	0	1	0	0
ACIN1	0	0	1	0	0	1	0	0
LRRC9	0	1	1	1	0	0	0	0
CEP170B	0	1	1	0	0	0	0	0
THSD4	0	0	2	0	0	0	0	0
CSK	0	0	1	0	0	0	0	0
KIAA1199	0	0	1	0	0	0	0	1
MPG	0	0	1	0	0	0	0	0
MSLNL	0	0	1	0	0	0	0	0
CLCN7	0	0	1	0	0	0	0	0
PPL	0	1	1	1	0	0	0	0
CIITA	0	0	1	0	0	0	0	0
VKORC1	0	0	1	0	0	0	0	0
C16orf58	0	0	1	0	0	0	0	0
CYB5B	0	0	1	0	0	0	0	0
AARS	0	0	1	0	0	0	0	0
MAF	0	0	1	0	0	0	0	0
HES7	0	0	1	1	0	0	0	0
RAI1	0	0	2	0	0	0	0	0
SMARCE1	0	0	1	0	0	0	0	0
HOXB6	0	0	1	0	0	0	0	0
WDR45B	0	0	1	0	0	0	0	0
LPIN2	0	0	1	0	0	0	0	0
MYOM1	0	0	1	0	0	0	0	1
AC012123.1	0	0	1	1	0	1	0	0
C18orf63	0	0	1	1	0	0	0	0
SALL3	0	1	1	0	0	0	0	0
CTDP1	0	0	1	1	0	0	0	0
PCSK4	0	0	1	0	0	0	0	0
REXO1	0	0	1	1	0	0	0	0
MAP2K2	0	0	1	0	0	0	0	0
MUC16	0	3	1	3	0	1	0	3
MED26	0	0	1	0	0	0	0	0
LGI4	0	0	1	0	0	0	0	0
SELV	0	0	1	0	0	0	0	0
ZNF780B	0	0	1	0	0	0	0	0
AKT2	0	0	1	1	0	0	0	0
BCKDHA	0	0	1	0	0	0	0	0
PLA2G4C	0	1	1	1	0	0	0	0
SIGLEC11	0	0	1	0	0	0	0	0
FERMT1	0	0	1	0	0	0	0	0
ARFGEF2	0	0	1	0	0	0	0	1
KRTAP26-1	0	0	1	0	0	0	0	0
TMPRSS3	0	0	1	0	0	0	0	0
COL18A1	0	0	1	0	0	0	0	0
CRKL	0	0	1	1	0	0	0	1
RASD2	0	0	1	0	0	0	0	0
MCHR1	0	0	1	0	0	0	0	0
SHROOM2	0	0	2	0	0	0	0	0
DYNLT3	0	0	1	0	0	0	0	0
ZNF674	0	0	1	0	0	0	0	0
GRIPAP1	0	0	1	0	0	0	0	0
FAM120C	0	0	1	0	0	0	0	0
NKRF	0	0	1	0	0	0	0	0
MAGEC1	0	0	1	0	0	0	0	0
MTMR1	0	0	1	0	0	1	0	1
ABCD1	0	0	1	1	0	0	0	0
CSRP1	0	0	0	0	0	0	1	0
PADI3	0	1	0	1	0	0	1	0
UGT3A2	0	1	0	1	0	0	1	0
TENM2	0	2	0	1	0	0	1	0
OR2Y1	0	0	0	0	0	0	1	0
WRNIP1	0	0	0	0	0	0	1	0
ENPP4	0	0	0	0	0	0	1	0
TPST1	0	0	0	0	0	0	1	0
NUTM2F	0	0	0	0	0	0	1	0
NLRP14	0	1	0	1	0	0	1	0
SPG20	0	0	0	0	0	1	1	0
FAM189A1	0	0	0	0	0	0	1	0
KLHL36	0	0	0	0	0	0	1	0
EZH1	0	0	0	0	0	0	1	0
ZNF135	0	0	0	0	0	0	1	0
PRMT2	0	0	0	0	0	0	1	1
CAPN9	0	0	1	0	0	0	0	0
IGF2BP2	0	0	1	0	0	0	0	0
FTSJ2	0	0	1	0	0	0	0	0
CIT	0	0	1	1	0	0	0	0
PDS5B	0	0	1	0	0	0	0	0
TLCD2	0	0	1	1	0	0	0	0
TPO	0	0	1	0	0	0	0	0
MGAT5	0	0	1	0	0	0	0	0
RAB38	0	0	1	0	0	0	0	0
MYH13	0	0	1	0	0	0	0	0
NSDHL	0	0	1	0	0	0	0	0
OBSCN	0	3	1	4	0	0	0	1
PTGFRN	0	0	1	0	0	0	0	0
USP54	0	0	1	1	0	0	0	1
TLN2	0	1	1	3	0	0	0	0
C17orf47	0	0	1	0	0	0	0	0
MOCOS	0	0	1	0	0	0	0	0
RP4-576H24.4	0	0	1	0	0	0	0	0
HSPA6	0	0	2	0	0	0	0	0
SFRP2	0	0	1	0	0	0	0	0
FSCN1	0	0	1	0	0	0	0	0
KCNIP2	0	0	1	0	0	0	0	0
LGALS3BP	0	0	1	0	0	0	0	0
DOK6	0	0	1	0	0	0	0	0
ARMCX4	0	0	2	0	0	1	0	1
FRMD7	0	0	2	0	0	0	0	0
PLXNB1	0	0	1	1	0	0	0	0
AADAT	0	0	1	0	0	0	0	0
SCARA3	0	0	1	0	0	0	0	0
DOCK8	0	0	1	2	0	0	0	0
RNF10	0	0	1	0	0	0	0	0
NFATC3	0	0	1	0	0	0	0	0
MAST3	0	0	2	1	0	0	0	0
MYH15	0	0	1	0	0	0	1	0
FAM183B	0	0	0	0	0	0	1	0
PCNXL3	0	0	0	2	0	0	1	0
ZNF286A	0	0	0	0	0	0	1	0
HIATL1	0	0	1	0	0	0	0	0
PTCHD3	0	0	1	0	0	0	0	0
TRAF5	0	0	0	0	0	0	1	0
WDR17	0	0	0	0	0	0	1	0
RASGRF2	0	0	0	0	0	0	1	0
C9orf116	0	1	0	1	0	0	1	1
HIPK3	0	0	0	0	0	0	1	0
PRB1	0	0	0	0	0	0	1	0
LRMP	0	0	2	1	0	0	1	0
CASC1	0	0	1	0	0	0	1	1
ALDH2	0	0	0	0	0	0	1	0
ZNF236	0	0	1	1	0	0	1	0
POLRMT	0	0	0	0	0	0	1	0
SDHAF1	0	0	0	0	0	0	1	0
PLCB4	0	0	0	0	0	0	1	0
TBC1D22A	0	0	0	0	0	0	1	0
C1orf110	0	0	1	0	0	0	0	0
KCNT2	0	0	1	0	0	1	0	0
NFASC	0	0	1	0	0	0	0	0
POLR1A	0	0	1	0	0	0	0	0
SCN3A	0	0	2	1	0	0	0	0
CHRD	0	0	2	0	0	0	0	0
VPS8	0	0	1	1	0	0	0	0
MYO10	0	0	1	1	0	0	0	0
SV2C	0	0	1	0	0	0	0	0
NSD1	0	0	1	0	0	1	1	1
HBP1	0	0	1	0	0	0	0	0
CCDC172	0	0	1	0	0	0	0	0
LINC00346	0	0	1	0	0	0	0	0
HEATR5A	0	0	1	1	0	0	0	0
RBBP6	0	0	1	0	0	0	0	0
GZMM	0	0	1	0	0	0	0	0
TENM1	0	0	1	1	0	0	0	0
MST1	0	0	0	0	0	0	1	0
LETM1	0	0	0	0	0	0	1	0
FASTKD3	0	0	0	0	0	0	1	0
LMOD2	0	0	0	0	0	0	1	0
RP1	0	0	0	0	0	1	1	1
SPATC1	0	0	0	0	0	0	1	0
FOXE1	0	0	0	0	0	0	1	0
SLC38A8	0	0	0	1	0	0	1	0
BTBD17	0	0	0	0	0	0	1	0
ZNF98	0	0	0	0	0	0	1	0
URI1	0	0	0	0	0	0	1	1
MORC1	0	0	2	1	0	1	0	1
TOPBP1	0	0	2	0	0	0	0	0
EPHB1	0	0	1	1	0	1	0	1
CHRNA7	0	0	1	0	0	0	0	0
PIK3R5	0	0	1	0	0	0	0	0
ATP1A4	0	0	0	0	0	0	1	0
UAP1	0	0	0	1	0	0	1	0
ADCY10	0	0	0	1	0	0	1	0
SPATA17	0	0	0	0	0	0	1	0
NBPF14	0	1	0	0	0	0	1	0
CHRNB2	0	0	0	0	0	0	1	0
ATP2C1	0	1	0	1	0	0	1	0
CAST	0	0	0	0	0	0	1	0
PCDHB8	0	2	0	1	0	0	1	1
CD74	0	0	0	0	0	0	1	0
TRRAP	0	0	0	0	0	0	1	0
GPR22	0	0	0	1	0	0	1	0
KLHDC10	0	0	0	0	0	0	1	0
ACTR1A	0	0	0	0	0	0	1	0
ZFC3H1	0	0	0	0	0	0	1	0
WDR90	0	1	0	0	0	0	1	0
TELO2	0	0	0	0	0	0	1	0
C17orf58	0	0	0	0	0	0	1	0
TMIGD2	0	0	0	0	0	0	1	0
SAFB	0	0	0	0	0	0	1	0
TMEM184B	0	0	0	0	0	0	1	0
C1orf167	0	0	0	0	0	0	1	0
NPAS2	0	0	0	0	0	0	1	0
SPC25	0	0	0	0	0	0	1	0
NFXL1	0	0	0	0	0	0	1	0
FAT1	0	0	0	2	0	0	1	0
MAST4	0	0	0	2	0	0	1	1
INTS1	0	1	0	0	0	0	1	0
STEAP1B	0	0	0	0	0	0	1	0
KRT77	0	0	0	0	0	0	1	0
APRT	0	0	0	0	0	0	1	0
VPS53	0	0	0	0	0	0	1	0
AF165138.7	0	0	0	0	0	0	1	0
SENP2	0	0	0	0	0	0	1	0
NAA11	0	1	1	0	0	0	1	0
SH3RF2	0	0	0	0	0	1	1	1
SKIV2L	0	0	0	0	0	0	1	0
AL590708.2	0	0	0	0	0	0	1	0
PALD1	0	0	0	0	0	0	1	0
FOXI2	0	0	0	0	0	0	1	0
ATP2A1	0	0	0	0	0	0	1	0
TMEM95	0	0	0	0	0	0	1	0
SPATC1L	0	0	0	0	0	0	1	0
SAT1	0	0	0	0	0	0	1	0
ANKIB1	0	0	1	0	0	0	0	0
OSBP	0	0	1	0	0	0	0	0
KDM6A	0	1	1	0	0	0	0	0
COPA	0	0	1	0	0	0	0	0
NDUFS2	0	0	1	0	0	0	0	0
SCYL3	0	0	1	0	0	0	0	0
NPL	0	0	1	0	0	0	0	0
ARL8A	0	0	1	0	0	0	0	0
CNTN2	0	0	1	0	0	0	0	0
KLHDC8A	0	0	1	0	0	0	0	0
SLC45A3	0	0	1	1	0	1	0	1
FAIM3	0	0	1	1	0	0	0	0
CAMK1G	0	0	1	0	0	0	0	0
USH2A	0	1	1	1	0	0	0	0
MARK1	0	0	1	1	0	0	0	0
ANGPTL7	0	0	1	0	0	0	0	0
PRAMEF12	0	0	1	0	0	0	0	0
PRDM2	0	0	1	0	0	0	0	0
IGSF21	0	0	1	0	0	0	0	0
MRTO4	0	0	1	0	0	0	0	0
ASAP3	0	0	1	0	0	0	0	0
GRHL3	0	0	1	0	0	0	0	0
MAN1C1	0	0	1	0	0	0	0	0
CEP85	0	0	1	0	0	0	0	0
PIGV	0	0	1	1	0	0	0	0
MAP3K6	0	1	1	0	0	0	0	0
NCDN	0	0	1	0	0	0	0	0
HPCAL4	0	0	1	0	0	0	0	0
PTPRF	0	2	1	1	0	0	0	0
MKNK1	0	0	1	0	0	1	0	1
CPT2	0	0	1	0	0	0	0	0
LRP8	0	1	1	0	0	0	0	0
C8A	0	0	1	0	0	0	0	0
NFIA	0	1	1	1	0	0	0	0
KANK4	0	0	1	0	0	0	0	0
ROR1	0	2	1	2	0	0	0	0
CTH	0	0	1	0	0	0	0	0
LRRIQ3	0	0	1	0	0	0	0	0
C1orf173	0	0	1	1	0	0	0	1
ARHGAP29	0	0	1	0	0	0	0	0
LPPR4	0	0	1	0	0	0	0	0
UBL4B	0	0	1	0	0	0	0	0
OLFML3	0	0	1	1	0	0	0	0
TRIM33	0	0	1	0	0	0	0	0
HMGCS2	0	0	1	0	0	0	0	0
NOTCH2	0	0	1	1	0	0	0	0
GPR89B	0	0	1	0	0	0	0	0
SV2A	0	0	1	0	0	0	0	0
OAZ3	0	0	1	1	0	0	0	0
LINGO4	0	0	1	1	0	0	0	0
C1orf68	0	0	1	0	0	0	0	0
SPRR1A	0	0	1	0	0	0	0	0
IQGAP3	0	0	1	0	0	0	0	0
SPTA1	0	0	1	1	0	0	0	0
OTOF	0	0	1	0	0	0	0	0
TRMT61B	0	0	1	0	0	0	0	0
EML6	0	0	1	0	0	0	0	0
REL	0	0	1	0	0	0	0	0
MTHFD2	0	0	1	0	0	0	0	0
SFTPB	0	0	1	0	0	0	0	0
SEMA4C	0	0	1	0	0	0	0	0
GCC2	0	0	1	1	0	0	0	0
TMEM185B	0	0	1	0	0	0	0	0
UGGT1	0	0	1	0	0	0	0	0
COBLL1	0	1	1	1	0	0	0	0
LRP2	0	2	1	3	0	0	0	0
CCDC173	0	0	1	0	0	0	0	0
AC007405.2	0	0	1	0	0	0	0	0
PDE11A	0	0	1	0	0	0	0	0
SF3B1	0	0	1	0	0	0	0	0
MAP2	0	0	1	1	0	0	0	0
ZNF142	0	0	1	0	0	0	0	0
ALPI	0	0	1	0	0	0	0	0
MROH2A	0	0	1	1	0	0	0	0
COL6A3	0	0	1	0	0	2	0	1
MTMR14	0	0	1	0	0	0	0	0
TADA3	0	0	1	0	0	0	0	0
EMC3	0	0	1	0	0	0	0	0
CAND2	0	0	1	0	0	0	0	0
COLQ	0	0	1	0	0	0	0	0
FBXL2	0	0	1	0	0	0	0	0
CLASP2	0	0	1	1	0	0	0	0
CLEC3B	0	0	1	0	0	0	0	0
CDCP1	0	0	1	1	0	0	0	0
PTH1R	0	0	1	0	0	0	0	0
CELSR3	0	1	1	2	0	0	0	0
BSN	0	0	1	0	0	0	0	0
IFRD2	0	0	1	0	0	0	0	0
HEMK1	0	0	1	0	0	0	0	0
ITIH3	0	1	1	0	0	0	0	0
CACNA2D3	0	0	1	0	0	0	0	0
ATXN7	0	0	1	0	0	0	0	0
FBXO40	0	0	1	0	0	0	0	0
FNDC3B	0	0	1	0	0	0	0	0
VWA5B2	0	0	1	0	0	0	0	0
THPO	0	0	1	0	0	0	0	0
C3orf70	0	0	1	0	0	0	0	0
ETV5	0	0	1	0	0	0	0	0
DGKG	0	0	1	0	0	0	0	0
NRROS	0	0	1	0	0	0	0	0
MFSD10	0	0	1	0	0	0	0	0
HGFAC	0	1	1	0	0	0	0	0
TAPT1	0	0	1	0	0	0	0	0
DHX15	0	0	1	0	0	0	0	0
SLC34A2	0	0	1	0	0	0	0	0
POLR2B	0	0	1	0	0	0	0	0
UNC5C	0	0	1	0	0	0	0	0
MTTP	0	0	1	1	0	0	0	1
SLC39A8	0	0	1	0	0	0	0	0
MANBA	0	0	1	1	0	0	0	0
INTU	0	0	1	0	0	0	0	0
DCHS2	0	0	1	1	0	1	0	1
AHRR	0	0	1	0	0	0	0	0
SLC1A3	0	0	1	0	0	0	0	0
FST	0	0	1	0	0	0	0	0
PDE4D	0	0	1	0	0	0	0	0
SLCO6A1	0	0	1	0	0	0	0	0
EPB41L4A	0	0	1	0	0	0	0	0
ATG12	0	0	1	0	0	0	0	0
AFF4	0	0	1	0	0	0	0	0
ETF1	0	0	1	0	0	0	0	0
SLC4A9	0	0	1	0	0	0	0	0
CSF1R	0	0	1	0	0	0	0	0
PDGFRB	0	0	1	0	0	0	0	0
ARSI	0	1	1	1	0	0	0	0
TCOF1	0	0	1	0	0	0	0	0
ADAM19	0	0	1	0	0	0	0	0
KIAA1191	0	0	1	1	0	0	0	0
UNC5A	0	0	1	0	0	0	0	0
MGAT4B	0	0	1	0	0	0	0	0
FLT4	0	0	1	0	0	0	0	0
BTNL3	0	0	1	0	0	0	0	0
JARID2	0	0	1	0	0	0	0	0
LRRC16A	0	0	1	1	0	0	0	0
VWA7	0	0	1	0	0	0	0	0
ITPR3	0	1	1	0	0	1	0	0
SLC26A8	0	0	1	1	0	0	0	0
TBC1D22B	0	0	1	0	0	0	0	0
KCNK5	0	0	1	0	0	0	0	0
SRF	0	0	1	0	0	0	0	0
TMEM63B	0	0	1	0	0	0	0	0
CDC5L	0	1	1	1	0	0	0	0
PGK2	0	0	1	0	0	0	0	0
TFAP2D	0	0	1	0	0	0	0	0
KLHL31	0	0	1	0	0	0	0	0
COL9A1	0	1	1	0	0	0	0	0
KCNQ5	0	0	1	0	0	0	0	0
TBX18	0	0	1	0	0	0	0	0
SCML4	0	0	1	0	0	0	0	0
ARMC2	0	0	1	0	0	0	0	0
TRAF3IP2	0	0	1	0	0	0	0	0
TRAPPC3L	0	0	1	0	0	0	0	0
OLIG3	0	0	1	0	0	0	0	0
TXLNB	0	0	1	0	0	0	0	0
RGS17	0	0	1	1	0	0	0	0
NUDT1	0	0	1	0	0	0	0	0
CHST12	0	0	1	0	0	0	0	0
USP42	0	0	1	0	0	0	0	0
C7orf26	0	0	1	0	0	0	0	0
NFE2L3	0	0	1	0	0	0	0	0
AOAH	0	1	1	0	0	0	0	0
CAMK2B	0	0	1	0	0	0	0	1
LIMK1	0	0	1	0	0	0	0	0
HSPB1	0	0	1	0	0	0	0	0
PCLO	0	2	1	1	0	0	0	0
SAMD9	0	3	1	4	0	0	0	0
EPHB4	0	0	1	0	0	0	0	0
TRIM56	0	1	1	1	0	0	0	0
PLOD3	0	0	1	1	0	0	0	0
MYL10	0	0	1	1	0	0	0	0
CFTR	0	0	1	0	0	0	0	0
FAM3C	0	0	1	0	0	0	0	0
GRM8	0	0	1	0	0	0	0	0
PLXNA4	0	0	1	0	0	0	0	0
WDR91	0	0	1	0	0	0	0	0
EPHB6	0	0	1	0	0	0	0	1
KCNH2	0	0	1	0	0	1	0	1
SLC4A2	0	0	1	0	0	0	0	0
ASB10	0	0	1	0	0	0	0	0
GALNTL5	0	0	1	1	0	0	0	0
RBM33	0	0	1	0	0	0	0	0
ESYT2	0	0	1	2	0	0	0	0
TNKS	0	0	1	0	0	0	0	0
DMTN	0	0	1	0	0	0	0	0
HR	0	0	1	1	0	0	0	0
EXTL3	0	0	1	0	0	0	0	0
KCNU1	0	0	1	0	0	0	0	0
BRF2	0	0	1	0	0	0	0	0
MCM4	0	0	1	0	0	0	0	0
RAB2A	0	0	1	0	0	0	0	0
ASPH	0	0	1	0	0	0	0	0
CA3	0	0	1	0	0	0	0	0
ANGPT1	0	0	1	0	0	0	0	0
FER1L6	0	1	1	1	0	0	0	0
TATDN1	0	0	1	0	0	0	0	0
KIAA0196	0	0	1	0	0	0	0	0
KHDRBS3	0	0	1	0	0	0	0	0
FAM83H	0	0	1	0	0	0	0	0
CBWD1	0	0	1	0	0	0	0	0
MPDZ	0	0	1	0	0	0	0	0
ADAMTSL1	0	0	1	0	0	0	0	0
DDX58	0	0	1	0	0	0	0	0
TLN1	0	0	1	0	0	1	0	1
SPATA31E1	0	0	1	0	0	0	0	0
GADD45G	0	0	1	0	0	0	0	0
SPTLC1	0	0	1	0	0	0	0	0
PHF2	0	0	1	0	0	0	0	0
TBC1D2	0	0	1	0	0	0	0	0
SLC46A2	0	0	1	0	0	0	0	0
RABGAP1	0	0	1	0	0	0	0	0
SCAI	0	0	1	0	0	0	0	0
PTRH1	0	0	1	0	0	0	0	0
C9orf16	0	0	1	0	0	0	0	0
PRRC2B	0	0	1	0	0	0	0	0
DDX31	0	0	1	0	0	0	0	0
COL5A1	0	0	1	2	0	0	0	0
FAM69B	0	0	1	0	0	0	0	0
LCN10	0	0	1	0	0	0	0	0
MAMDC4	0	0	1	0	0	0	0	0
ABCA2	0	0	1	2	0	0	0	0
PFKFB3	0	0	1	0	0	0	0	0
NUDT5	0	0	1	0	0	0	0	0
KIAA1462	0	0	1	0	0	0	0	0
ZEB1	0	0	1	0	0	0	0	0
WDFY4	0	0	1	0	0	1	0	1
ANK3	0	1	1	1	0	0	0	0
HKDC1	0	0	1	0	0	0	0	0
CDH23	0	0	2	1	0	0	0	1
CCSER2	0	0	1	0	0	0	0	0
IFIT1B	0	0	1	0	0	0	0	0
PLCE1	0	0	1	0	0	0	0	0
TLX1NB	0	0	1	0	0	0	0	0
CCDC147	0	0	1	0	0	0	0	0
TTC40	0	0	1	2	0	0	0	0
TUBGCP2	0	0	1	0	0	0	0	0
RASSF7	0	0	1	0	0	0	0	0
ZNF195	0	0	1	0	0	0	0	0
DCHS1	0	0	1	0	0	0	0	0
OR2AG1	0	0	1	0	0	0	0	0
SYT9	0	0	1	0	0	0	0	0
OR5P3	0	0	1	0	0	0	0	0
TRIM66	0	0	1	1	0	0	0	0
ADM	0	0	1	0	0	0	0	0
CTR9	0	0	1	0	0	0	0	0
DKK3	0	0	1	0	0	0	0	0
MICAL2	0	0	1	0	0	0	0	0
NCR3LG1	0	0	1	0	0	0	0	0
ABCC8	0	0	1	0	0	0	0	0
HPS5	0	0	1	0	0	0	0	0
EHF	0	0	1	0	0	1	0	1
PRR5L	0	0	1	0	0	0	0	0
DGKZ	0	0	1	0	0	0	0	0
PTPMT1	0	0	1	0	0	0	0	0
OR9Q1	0	0	1	0	0	0	0	0
VWCE	0	0	1	1	0	0	0	0
DAGLA	0	0	1	0	0	0	0	0
MAP4K2	0	0	1	0	0	0	0	0
CDC42BPG	0	1	2	0	0	0	0	0
MRGPRF	0	0	1	0	0	0	0	0
ARHGEF17	0	0	1	0	0	0	0	0
GDPD4	0	0	1	0	0	0	0	0
KDM4E	0	0	1	0	0	0	0	0
CNTN5	0	0	1	0	0	0	0	0
BIRC3	0	0	1	0	0	0	0	0
CLDN25	0	0	1	0	0	0	0	0
CEP164	0	0	1	1	0	0	0	0
ABCG4	0	0	1	0	0	0	0	0
TECTA	0	0	1	0	0	0	0	0
CDON	0	0	1	0	0	0	0	0
KCNJ1	0	0	1	0	0	0	0	0
CHD4	0	0	1	0	0	0	0	0
A2ML1	0	0	1	0	0	0	0	0
PHC1	0	0	1	0	0	0	0	0
TMEM52B	0	0	1	0	0	0	0	0
GPR19	0	0	1	0	0	0	0	0
FAR2	0	0	1	0	0	0	0	0
BICD1	0	0	1	0	0	0	0	0
DNM1L	0	0	1	0	0	0	0	0
RPAP3	0	0	1	0	0	0	0	0
PFKM	0	0	1	0	0	0	0	0
DDN	0	0	1	0	0	0	0	0
CSRNP2	0	0	1	0	0	0	0	0
BIN2	0	0	1	0	0	0	0	0
SCN8A	0	0	1	1	0	0	0	0
ITGA7	0	0	1	0	0	0	0	0
RPS26	0	0	1	0	0	0	0	0
CAND1	0	1	1	0	0	0	0	0
CSRP2	0	0	1	0	0	0	0	0
SYT1	0	0	1	0	0	0	0	0
GLT8D2	0	0	1	0	0	0	0	0
BTBD11	0	1	1	1	0	0	0	0
SLC8B1	0	0	1	0	0	0	0	0
CCDC60	0	0	1	1	0	0	0	0
PXN	0	0	1	0	0	0	0	0
GTF2H3	0	0	1	0	0	0	0	0
DHX37	0	0	1	0	0	1	0	1
NHLRC3	0	0	1	0	0	0	0	0
COL4A2	0	1	1	1	0	0	0	0
F10	0	0	1	0	0	0	0	0
MYH6	0	0	1	1	0	1	0	0
THTPA	0	0	1	0	0	0	0	0
KIAA0586	0	0	1	0	0	0	0	0
SLC8A3	0	0	1	0	0	0	0	0
SERPINA4	0	0	1	0	0	0	0	0
MTA1	0	0	1	1	0	0	0	0
DISP2	0	0	1	0	0	0	0	0
MAPKBP1	0	0	1	1	0	0	0	0
CAPN3	0	0	1	0	0	0	0	0
CDAN1	0	0	1	0	0	0	0	0
MAP1A	0	0	1	1	0	0	0	0
PDIA3	0	0	1	1	0	0	0	0
FRMD5	0	0	1	0	0	0	0	0
PATL2	0	0	1	0	0	0	0	0
DMXL2	0	0	1	1	0	0	0	0
IGDCC3	0	0	1	0	0	1	0	1
NPTN	0	0	1	0	0	0	0	0
EDC3	0	0	1	0	0	0	0	0
SCAPER	0	1	1	1	0	0	0	0
PSTPIP1	0	0	1	0	0	0	0	0
ARRDC4	0	0	1	0	0	0	0	0
RHBDF1	0	1	1	1	0	0	0	0
ITFG3	0	0	1	0	0	0	0	0
MRPL28	0	0	1	0	0	0	0	0
C16orf91	0	0	1	0	0	0	0	0
TSC2	0	1	1	1	0	0	0	0
ECI1	0	0	1	0	0	0	0	0
PRSS27	0	0	1	0	0	0	0	0
ZSCAN32	0	0	1	0	0	0	0	0
CLUAP1	0	0	1	0	0	0	0	0
MKL2	0	0	1	0	0	0	0	0
PDILT	0	0	1	0	0	0	0	0
ACSM2A	0	0	1	0	0	0	0	0
EEF2K	0	1	1	0	0	0	0	0
ATXN2L	0	0	1	0	0	0	0	0
KIF22	0	0	1	0	0	0	0	0
MVP	0	0	1	0	0	0	0	0
SRCAP	0	1	1	1	0	0	0	0
FTO	0	0	1	0	0	0	0	0
CA7	0	0	1	1	0	0	0	0
ESRP2	0	0	1	0	0	0	0	0
PHLPP2	0	0	1	1	0	0	0	0
ATXN1L	0	0	1	0	0	0	0	0
ZFHX3	0	0	1	1	0	0	0	0
GLG1	0	0	1	0	0	0	0	0
ZFP1	0	0	1	0	0	0	0	0
ADAMTS18	0	0	1	0	0	0	0	0
USP10	0	0	1	0	0	0	0	0
GSE1	0	0	1	1	0	0	0	0
FBXO31	0	0	1	0	0	0	0	0
CA5A	0	0	1	0	0	0	0	0
SPATA2L	0	0	1	0	0	0	0	0
MYO1C	0	0	1	0	0	0	0	1
WDR81	0	0	1	0	0	0	0	0
ZBTB4	0	0	1	1	0	0	0	0
MAP2K4	0	0	1	0	0	0	0	0
TOM1L2	0	0	1	0	0	0	0	0
SHMT1	0	0	1	0	0	0	0	0
TMEM11	0	0	1	0	0	0	0	0
KSR1	0	1	1	0	0	0	0	0
SPAG5	0	0	1	0	0	0	0	0
DHRS13	0	0	1	0	0	0	0	0
RAB11FIP4	0	0	1	0	0	0	0	0
PCGF2	0	0	1	0	0	0	0	0
CDK12	0	0	1	0	0	0	0	0
ERBB2	0	0	1	0	0	0	0	0
KRT40	0	0	1	0	0	0	0	0
KRTAP1-4	0	0	1	0	0	0	0	0
DHX58	0	0	1	0	0	0	0	0
PLEKHH3	0	0	1	0	0	0	0	0
DHX8	0	0	1	1	0	0	0	0
GOSR2	0	0	1	0	0	0	0	0
NPEPPS	0	0	1	0	0	0	0	0
MRPL10	0	0	1	0	0	0	0	0
SP2	0	0	1	0	0	0	0	0
EPX	0	0	1	0	0	0	0	0
LPO	0	0	1	0	0	0	0	0
MRC2	0	0	1	1	0	0	0	0
TACO1	0	0	1	0	0	0	0	0
LRRC37A3	0	0	1	0	0	0	0	0
COG1	0	0	1	0	0	1	0	1
SDK2	0	1	1	2	0	0	0	0
KIF19	0	0	1	0	0	0	0	0
ICT1	0	0	1	0	0	0	0	0
EVPL	0	0	1	0	0	0	0	0
PGS1	0	0	1	0	0	0	0	0
CBX2	0	0	1	0	0	0	0	0
RPTOR	0	0	1	0	0	0	0	0
ZNF396	0	0	1	0	0	0	0	0
FHOD3	0	0	1	0	0	0	0	0
SETBP1	0	0	1	1	0	0	0	0
MBD1	0	0	1	0	0	0	0	0
PIGN	0	0	1	1	0	0	0	0
CDH7	0	1	1	1	0	0	0	0
RTTN	0	0	1	0	0	0	0	0
MUM1	0	0	1	0	0	0	0	0
MLLT1	0	0	1	1	0	0	0	0
TUBB4A	0	0	1	1	0	0	0	0
XAB2	0	0	1	0	0	0	0	0
ZNF699	0	0	1	0	0	0	0	0
DKFZP761J1410	0	1	1	0	0	0	0	0
ASNA1	0	0	1	0	0	0	0	0
