Gene_set_name	Reference(PMID or DOI)	Source	Notes	
Eze_CorticalNeuronSubcluster27	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Cortical Neuron Subclustering. FC>2	
Eze_CorticalNeuronSubcluster28	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster1	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster2	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster3	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster4	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster5	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster6	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster7	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster8	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster9	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster10	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster11	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster12	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster13	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster14	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster15	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuronSubcluster16	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. Early Cortical Neuron Subclustering. FC>2	
Eze_EarlyCorticalNeuron	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. differential expression was performed between older and younger neuronal populations across all subtypes. FC>2	
Eze_LateCorticalNeuron	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 7. differential expression was performed between older and younger neuronal populations across all subtypes. FC>2	
Eze_UltraEarlyCortexSubcluster1	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster2	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster3	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster4	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster5	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster6	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster7	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster8	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster9	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster10	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster11	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster12	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster13	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster14	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster15	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster16	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster17	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster18	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster19	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster20	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster21	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster22	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster23	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster24	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster25	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster26	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster27	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster28	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_UltraEarlyCortexSubcluster29	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	"scRNA of early human brain development.Supplementary Table 9. Ultra Early Cortex Cluster Markers The earliest cortical samples (CS12, CS13) in the dataset were subclustered to look for unique populations within these least characterized timepoints. FC>2"	
Eze_CortexCluster1	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster2	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster3	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster4	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster5	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster6	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster7	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster8	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster9	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster10	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster11	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster12	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster13	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster14	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster15	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster16	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster17	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster18	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster19	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster20	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster21	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster22	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster23	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster24	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster25	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster26	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster27	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster28	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster29	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster30	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster31	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster32	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster33	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster34	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster35	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster36	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster37	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster38	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster39	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster40	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster41	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster42	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster43	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster44	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster45	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster46	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster47	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster48	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster49	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster50	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster51	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster52	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster53	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster54	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster55	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster56	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster57	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster58	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster59	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster60	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_CortexCluster61	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 6. Cortex Clustermarkers. FC>2	
Eze_ProgenitorSubclusterNew1	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew2	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew3	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew4	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>1	
Eze_ProgenitorSubclusterNew5	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew6	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew7	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>1	
Eze_ProgenitorSubclusterNew8	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>2	
Eze_ProgenitorSubclusterNew9	Eze_2021_10.1038/s41593-020-00794-1	Eze_2021_10.1038/s41593-020-00794-1	scRNA of early human brain development. Supplementary Table 8. Progenitor Subclustered Cluster Markers. FC>1	
Krishna_GBMFunctionalConnectivity	Krishna_2021_10.1101/2021.02.18.431915	Krishna_2021_10.1101/2021.02.18.431915	Bulk RNA-sequencing from primary patient-derived High Functional Connectivity and Low Functional Connectivity tumor samples.	
Neftel_MES_sub	"10.1016/j.cell.2019.06.024,Ajaib_unpublished"	Ajaib_unpublished	Taken from the neftel signatures but filtered for thsoe that are good markers in the discovery bulk data and are tumour intrinsic. 	
